GMT Daylight Time,Mark,Sail,Twd°M,Tws,Twg,Twa,Targ,Bsp,Set°M,Drift,Brg°M,Dist nm,Awa,Aws,Mode,MSLP,Rain,AirT,SST,MeanWaveDir,SigWave H,WaveDir,Wave H,SwellDir,Swell H,Cloud,CAPE,LFTX,Latitude,Longitude
29-Mar-21 23:00,,,170,5.3,,-118,142,5.8,191,0.4,283,5.45,-55,5.8,Sail,,,,,,,,,,,,,,50 39.190n,007 33.231w
30-Mar-21 00:00,,,156,5.3,,-122,142,5.7,188,0.4,273,5.16,-58,5.4,Sail,,,,,,,,,,,,,,50 40.211n,007 41.668w
30-Mar-21 01:00,,,143,4.9,,(-167),141,4.3,185,0.4,305,3.47,-82,3.1,Sail,,,,,,,,,,,,,,50 40.303n,007 49.794w
30-Mar-21 02:00,,,138,4.8,,(-173),141,4.2,170,0.5,305,3.25,-82,3.1,Sail,,,,,,,,,,,,,,50 42.168n,007 54.399w
30-Mar-21 03:00,,,130,4.6,,(158),141,4.0,167,0.6,330,3.28,81,3.0,Sail,,,,,,,,,,,,,,50 43.913n,007 58.717w
30-Mar-21 04:00,,,120,4.5,,130,141,4.5,167,0.5,349,4.00,65,3.8,Sail,,,,,,,,,,,,,,50 46.664n,008 1.533w
30-Mar-21 05:00,,,121,4.6,,(166),141,4.0,184,0.5,309,3.45,81,2.9,Sail,,,,,,,,,,,,,,50 50.545n,008 3.043w
30-Mar-21 06:00,,,120,4.7,,(150),141,4.1,203,0.4,325,3.96,81,3.0,Sail,,,,,,,,,,,,,,50 52.616n,008 7.405w
30-Mar-21 07:00,,,115,5.0,,(145),141,4.3,225,0.3,328,4.52,82,3.1,Sail,,,,,,,,,,,,,,50 55.751n,008 11.223w
30-Mar-21 08:00,,,099,4.6,,123,141,4.9,291,0.2,335,5.10,58,4.6,Sail,,,,,,,,,,,,,,50 59.446n,008 15.339w
30-Mar-21 09:00,,,104,5.1,,127,141,5.2,204,0.1,337,5.30,62,4.7,Sail,,,,,,,,,,,,,,51 3.958n,008 19.096w
30-Mar-21 10:00,,,106,5.6,,124,142,5.8,173,0.2,340,5.50,61,5.3,Sail,,,,,,,,,,,,,,51 8.716n,008 22.797w
30-Mar-21 11:00,,,112,5.9,,135,143,5.4,178,0.3,336,5.16,73,4.4,Sail,,,,,,,,,,,,,,51 13.794n,008 26.112w
30-Mar-21 12:00,,,117,6.4,,(168),143,5.3,175,0.3,306,4.77,87,3.8,Sail,,,,,,,,,,,,,,51 18.398n,008 29.815w
30-Mar-21 13:00,,,122,6.9,,(176),144,5.6,194,0.4,302,5.12,90,4.0,Sail,,,,,,,,,,,,,,51 20.974n,008 36.220w
30-Mar-21 14:00,,,128,7.2,,(-163),145,5.8,214,0.4,286,5.41,-92,4.2,Sail,,,,,,,,,,,,,,51 23.478n,008 43.353w
30-Mar-21 15:00,,,132,6.7,,(-159),144,5.5,220,0.6,285,5.55,-89,3.9,Sail,,,,,,,,,,,,,,51 24.746n,008 51.774w
30-Mar-21 16:00,,,137,7.0,,-134,144,6.3,222,0.6,266,6.91,-75,5.2,Sail,,,,,,,,,,,,,,51 25.889n,009 0.465w
30-Mar-21 17:00,,,140,7.1,,-135,145,6.3,216,0.9,267,6.71,-76,5.2,Sail,,,,,,,,,,,,,,51 25.056n,009 11.442w
